"rule_id","description","long_description","persona","portfolio","tables_to_join","joins","filters","select_columns","aggregations","conditional_aggregations","groupby_columns","having_conditions","orderby_columns","raw_where","is_distinct","usecase","dashboard_link","sector","banking_division"
"FORMX_B.7.1","7.1 Loans and advances excluding due from banks",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""facility"", ""counterparty"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""facility_id""], ""left_table"": ""balance_data"", ""right_keys"": [""facility_id""], ""right_table"": ""facility""}, {""join_type"": ""left"", ""left_keys"": [""counterparty_id""], ""left_table"": ""balance_data"", ""right_keys"": [""counterparty_id""], ""right_table"": ""counterparty""}, {""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_2"": {""eq"": ""Loans and Advances""}}, ""counterparty"": {""sector"": {""ne"": ""Bank""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_B.7.2.1","7.2.1 Co-operative banks in India",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""counterparty"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""counterparty_id""], ""left_table"": ""balance_data"", ""right_keys"": [""counterparty_id""], ""right_table"": ""counterparty""}, {""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_2"": {""eq"": ""Loans and Advances""}}, ""counterparty"": {""bank_type"": {""eq"": ""Co-operative Bank""}, ""residency"": {""eq"": ""India""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_B.7.2.2","7.2.2 Commercial banks in India",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""counterparty"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""counterparty_id""], ""left_table"": ""balance_data"", ""right_keys"": [""counterparty_id""], ""right_table"": ""counterparty""}, {""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_2"": {""eq"": ""Loans and Advances""}}, ""counterparty"": {""bank_type"": {""eq"": ""Commercial Bank""}, ""residency"": {""eq"": ""India""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_B.7.2.3","7.2.3 Banks outside India",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""counterparty"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""counterparty_id""], ""left_table"": ""balance_data"", ""right_keys"": [""counterparty_id""], ""right_table"": ""counterparty""}, {""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_2"": {""eq"": ""Loans and Advances""}}, ""counterparty"": {""bank_type"": {""eq"": ""Bank""}, ""residency"": {""ne"": ""India""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_B.8","8. Premises, Furniture, Fixtures and other Fixed assets",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Assets""}, ""product_level_2"": {""eq"": ""Fixed Assets""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_B.9.1","9.1 Branch adjustment among offices in India",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_2"": {""eq"": ""Branch Adjustment""}, ""product_level_3"": {""eq"": ""India Offices""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_B.9.2","9.2 Branch adjustment with offices outside India",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_2"": {""eq"": ""Branch Adjustment""}, ""product_level_3"": {""eq"": ""Foreign Offices""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"LGD-001","Establish facility-level exposure for LGD calculation","Identify the facility-level Exposure at Default (EAD) that forms the exposure base for subsequent collateral, guarantee, recovery and LGD calculations. Exposure is retained at legal obligor and facility level rather than being aggregated at ultimate parent level.","LGD Analyst","Credit Risk","[""facility_lgd""]","[]","{}","{""facility_lgd"": {""currency"": ""currency"", ""seniority"": ""seniority"", ""ead_amount"": ""ead_amount"", ""facility_id"": ""facility_id"", ""facility_type"": ""facility_type"", ""default_status"": ""default_status"", ""legal_obligor_id"": ""legal_obligor_id"", ""facility_sub_type"": ""facility_sub_type"", ""ultimate_parent_id"": ""ultimate_parent_id"", ""beneficiary_entity_id"": ""beneficiary_entity_id""}}","[]","{}","{}","[]","{}","",False,"Common Wholesale LGD Framework","",NULL,NULL
"LGD-002","Calculate eligible collateral value after haircut","Calculate the eligible collateral value available to each facility by applying the collateral haircut to the amount allocated to the facility. The rule retains facility, collateral, allocation, valuation, enforceability and shared-pool information required for subsequent LGD calculations.","LGD Analyst","Credit Risk","[""facility_collateral_lgd"", ""collateral_lgd""]","[{""join_type"": ""left"", ""left_keys"": [""collateral_id""], ""left_table"": ""facility_collateral_lgd"", ""right_keys"": [""collateral_id""], ""right_table"": ""collateral_lgd""}]","{""collateral_lgd"": {""shared_pool_flag"": {""eq"": false}}}","{""collateral_lgd"": {""currency"": ""currency"", ""haircut_pct"": ""haircut_pct"", ""title_status"": ""title_status"", ""current_value"": ""current_value"", ""downturn_value"": ""downturn_value"", ""valuation_date"": ""valuation_date"", ""collateral_type"": ""collateral_type"", ""shared_pool_flag"": ""shared_pool_flag"", ""enforceability_status"": ""enforceability_status"", ""collateral_description"": ""collateral_description"", ""valuation_validity_days"": ""valuation_validity_days"", ""eligible_collateral_value"": {""alias"": ""eligible_collateral_value"", ""expression"": ""(coalesce(facility_collateral_lgd.allocation_amount,0) * (1 - coalesce(collateral_lgd.haircut_pct,0) / 100))""}}, ""facility_collateral_lgd"": {""priority"": ""priority"", ""facility_id"": ""facility_id"", ""collateral_id"": ""collateral_id"", ""allocation_pct"": ""allocation_pct"", ""allocation_amount"": ""allocation_amount"", ""allocation_status"": ""allocation_status""}}","[]","{}","{}","[]","{}","",False,"Common Wholesale LGD Framework","",NULL,NULL
"MPD02_AFD_028","Advances against Fixed Deposits","Report MPD02: classify and report the line item 'Advances against Fixed Deposits' using the specified Product Level hierarchy in BALANCE_DATA. Apply the stated condition to identify the eligible records and convert the source amount to the entity reporting currency using the applicable FX rate for the reporting date.","REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""inner"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Assets""}, ""product_level_2"": {""eq"": ""Loans and Advances""}, ""product_level_3"": {""eq"": ""Personal Loans""}, ""product_level_4"": {""eq"": ""Advances against Fixed Deposits""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"MPD02_AGD_003","Agriculture and Allied Activities - Direct","Report MPD02: classify and report the line item 'Agriculture and Allied Activities - Direct' using the specified Product Level hierarchy in BALANCE_DATA. Apply the stated condition to identify the eligible records and convert the source amount to the entity reporting currency using the applicable FX rate for the reporting date.","REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""inner"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Assets""}, ""product_level_2"": {""eq"": ""Loans and Advances""}, ""product_level_3"": {""eq"": ""Agriculture and Allied Activities""}, ""product_level_4"": {""eq"": ""Direct""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"MPD02_AGI_004","Agriculture and Allied Activities - Indirect","Report MPD02: classify and report the line item 'Agriculture and Allied Activities - Indirect' using the specified Product Level hierarchy in BALANCE_DATA. Apply the stated condition to identify the eligible records and convert the source amount to the entity reporting currency using the applicable FX rate for the reporting date.","REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""inner"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Assets""}, ""product_level_2"": {""eq"": ""Loans and Advances""}, ""product_level_3"": {""eq"": ""Agriculture and Allied Activities""}, ""product_level_4"": {""eq"": ""Indirect""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"MPD02_AGNB_088","Agriculture and Allied Activities - NBFC","Report MPD02: classify and report the line item 'Agriculture and Allied Activities - NBFC' using the specified Product Level hierarchy in BALANCE_DATA. Apply the stated condition to identify the eligible records and convert the source amount to the entity reporting currency using the applicable FX rate for the reporting date.","REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""inner"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Assets""}, ""product_level_2"": {""eq"": ""Loans and Advances""}, ""product_level_3"": {""eq"": ""Priority Sector""}, ""product_level_4"": {""eq"": ""Agriculture and Allied Activities - NBFC""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"MPD02_AGNP_090","Agriculture - Net PSLC-Agriculture","Report MPD02: classify and report the line item 'Agriculture - Net PSLC-Agriculture' using the specified Product Level hierarchy in BALANCE_DATA. Apply the stated condition to identify the eligible records and convert the source amount to the entity reporting currency using the applicable FX rate for the reporting date.","REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""inner"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Assets""}, ""product_level_2"": {""eq"": ""Loans and Advances""}, ""product_level_3"": {""eq"": ""Priority Sector""}, ""product_level_4"": {""eq"": ""Agriculture - Net PSLC-Agriculture""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"MPD02_AGNS_089","Agriculture - Net PSLC-SF/MF","Report MPD02: classify and report the line item 'Agriculture - Net PSLC-SF/MF' using the specified Product Level hierarchy in BALANCE_DATA. Apply the stated condition to identify the eligible records and convert the source amount to the entity reporting currency using the applicable FX rate for the reporting date.","REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""inner"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Assets""}, ""product_level_2"": {""eq"": ""Loans and Advances""}, ""product_level_3"": {""eq"": ""Priority Sector""}, ""product_level_4"": {""eq"": ""Agriculture - Net PSLC-SF/MF""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"MPD02_AIR_083","Airports","Report MPD02: classify and report the line item 'Airports' using the specified Product Level hierarchy in BALANCE_DATA. Apply the stated condition to identify the eligible records and convert the source amount to the entity reporting currency using the applicable FX rate for the reporting date.","REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""inner"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Assets""}, ""product_level_2"": {""eq"": ""Loans and Advances""}, ""product_level_3"": {""eq"": ""Industry""}, ""product_level_4"": {""eq"": ""Infrastructure""}, ""product_level_5"": {""eq"": ""Airports""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"MPD02_AVI_012","Aviation","Report MPD02: classify and report the line item 'Aviation' using the specified Product Level hierarchy in BALANCE_DATA. Apply the stated condition to identify the eligible records and convert the source amount to the entity reporting currency using the applicable FX rate for the reporting date.","REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""inner"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Assets""}, ""product_level_2"": {""eq"": ""Loans and Advances""}, ""product_level_3"": {""eq"": ""Services""}, ""product_level_4"": {""eq"": ""Aviation""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"MPD02_BF_024","Banking and Finance other than NBFCs and MFs","Report MPD02: classify and report the line item 'Banking and Finance other than NBFCs and MFs' using the specified Product Level hierarchy in BALANCE_DATA. Apply the stated condition to identify the eligible records and convert the source amount to the entity reporting currency using the applicable FX rate for the reporting date.","REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""inner"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Assets""}, ""product_level_2"": {""eq"": ""Loans and Advances""}, ""product_level_3"": {""eq"": ""Services""}, ""product_level_4"": {""eq"": ""Banking and Finance other than NBFCs and MFs""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"MPD02_BT_056","Beverage and Tobacco","Report MPD02: classify and report the line item 'Beverage and Tobacco' using the specified Product Level hierarchy in BALANCE_DATA. Apply the stated condition to identify the eligible records and convert the source amount to the entity reporting currency using the applicable FX rate for the reporting date.","REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""inner"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Assets""}, ""product_level_2"": {""eq"": ""Loans and Advances""}, ""product_level_3"": {""eq"": ""Industry""}, ""product_level_4"": {""eq"": ""Beverage and Tobacco""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"MPD02_CAP_047","Credit to Capital Market","Report MPD02: classify and report the line item 'Credit to Capital Market' using the specified Product Level hierarchy in BALANCE_DATA. Apply the stated condition to identify the eligible records and convert the source amount to the entity reporting currency using the applicable FX rate for the reporting date.","REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""inner"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Assets""}, ""product_level_2"": {""eq"": ""Loans and Advances""}, ""product_level_3"": {""eq"": ""Credit to Capital Market""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"MPD02_CCO_030","Credit Card Outstanding","Report MPD02: classify and report the line item 'Credit Card Outstanding' using the specified Product Level hierarchy in BALANCE_DATA. Apply the stated condition to identify the eligible records and convert the source amount to the entity reporting currency using the applicable FX rate for the reporting date.","REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""inner"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Assets""}, ""product_level_2"": {""eq"": ""Loans and Advances""}, ""product_level_3"": {""eq"": ""Personal Loans""}, ""product_level_4"": {""eq"": ""Credit Card Outstanding""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"MPD02_CD_026","Consumer Durables","Report MPD02: classify and report the line item 'Consumer Durables' using the specified Product Level hierarchy in BALANCE_DATA. Apply the stated condition to identify the eligible records and convert the source amount to the entity reporting currency using the applicable FX rate for the reporting date.","REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""inner"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Assets""}, ""product_level_2"": {""eq"": ""Loans and Advances""}, ""product_level_3"": {""eq"": ""Personal Loans""}, ""product_level_4"": {""eq"": ""Consumer Durables""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"MPD02_CEM_071","Cement","Report MPD02: classify and report the line item 'Cement' using the specified Product Level hierarchy in BALANCE_DATA. Apply the stated condition to identify the eligible records and convert the source amount to the entity reporting currency using the applicable FX rate for the reporting date.","REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""inner"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Assets""}, ""product_level_2"": {""eq"": ""Loans and Advances""}, ""product_level_3"": {""eq"": ""Industry""}, ""product_level_4"": {""eq"": ""Cement""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"MPD02_CHM_068","Others - Chemicals","Report MPD02: classify and report the line item 'Others - Chemicals' using the specified Product Level hierarchy in BALANCE_DATA. Apply the stated condition to identify the eligible records and convert the source amount to the entity reporting currency using the applicable FX rate for the reporting date.","REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""inner"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Assets""}, ""product_level_2"": {""eq"": ""Loans and Advances""}, ""product_level_3"": {""eq"": ""Industry""}, ""product_level_4"": {""eq"": ""Chemicals""}, ""product_level_5"": {""eq"": ""Others""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"MPD02_CON_078","Construction","Report MPD02: classify and report the line item 'Construction' using the specified Product Level hierarchy in BALANCE_DATA. Apply the stated condition to identify the eligible records and convert the source amount to the entity reporting currency using the applicable FX rate for the reporting date.","REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""inner"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Assets""}, ""product_level_2"": {""eq"": ""Loans and Advances""}, ""product_level_3"": {""eq"": ""Industry""}, ""product_level_4"": {""eq"": ""Construction""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"MPD02_COT_057","Cotton","Report MPD02: classify and report the line item 'Cotton' using the specified Product Level hierarchy in BALANCE_DATA. Apply the stated condition to identify the eligible records and convert the source amount to the entity reporting currency using the applicable FX rate for the reporting date.","REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""inner"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Assets""}, ""product_level_2"": {""eq"": ""Loans and Advances""}, ""product_level_3"": {""eq"": ""Industry""}, ""product_level_4"": {""eq"": ""Textiles""}, ""product_level_5"": {""eq"": ""Cotton""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"MPD02_CREO_017","Any other CRE","Report MPD02: classify and report the line item 'Any other CRE' using the specified Product Level hierarchy in BALANCE_DATA. Apply the stated condition to identify the eligible records and convert the source amount to the entity reporting currency using the applicable FX rate for the reporting date.","REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""inner"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Assets""}, ""product_level_2"": {""eq"": ""Loans and Advances""}, ""product_level_3"": {""eq"": ""Services""}, ""product_level_4"": {""eq"": ""Commercial Real Estate""}, ""product_level_5"": {""eq"": ""Any other CRE""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"MPD02_CRER_016","Builders/Developers for residential property","Report MPD02: classify and report the line item 'Builders/Developers for residential property' using the specified Product Level hierarchy in BALANCE_DATA. Apply the stated condition to identify the eligible records and convert the source amount to the entity reporting currency using the applicable FX rate for the reporting date.","REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""inner"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Assets""}, ""product_level_2"": {""eq"": ""Loans and Advances""}, ""product_level_3"": {""eq"": ""Services""}, ""product_level_4"": {""eq"": ""Commercial Real Estate""}, ""product_level_5"": {""eq"": ""Builders/Developers for residential property""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"MPD02_CS_009","Computer Software","Report MPD02: classify and report the line item 'Computer Software' using the specified Product Level hierarchy in BALANCE_DATA. Apply the stated condition to identify the eligible records and convert the source amount to the entity reporting currency using the applicable FX rate for the reporting date.","REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""inner"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Assets""}, ""product_level_2"": {""eq"": ""Loans and Advances""}, ""product_level_3"": {""eq"": ""Services""}, ""product_level_4"": {""eq"": ""Computer Software""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"MPD02_DRG_066","Drugs and Pharmaceuticals","Report MPD02: classify and report the line item 'Drugs and Pharmaceuticals' using the specified Product Level hierarchy in BALANCE_DATA. Apply the stated condition to identify the eligible records and convert the source amount to the entity reporting currency using the applicable FX rate for the reporting date.","REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""inner"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Assets""}, ""product_level_2"": {""eq"": ""Loans and Advances""}, ""product_level_3"": {""eq"": ""Industry""}, ""product_level_4"": {""eq"": ""Chemicals""}, ""product_level_5"": {""eq"": ""Drugs and Pharmaceuticals""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
